Ex,Pay,Dec,Div
2015-09-03,2015-10-05,2015-08-10,0.28
2015-12-07,2016-01-04,2015-11-19,0.32
2016-03-03,2016-04-04,2016-02-11,0.16
2016-06-02,2016-07-05,2016-05-13,0.16
2016-09-01,2016-10-03,2016-08-11,0.16
2016-12-01,2017-01-03,2016-11-17,0.18
2017-03-02,2017-04-03,2017-02-16,0.18
2017-06-01,2017-07-05,2017-05-11,0.18
2017-08-31,2017-10-02,2017-08-10,0.18
2017-12-01,2018-01-02,2017-11-16,0.2
2018-03-02,2018-04-02,2018-02-15,0.2
2018-06-01,2018-07-05,2018-05-10,0.2
2018-08-31,2018-10-01,2018-08-09,0.2
2018-11-30,2019-01-02,2018-11-15,0.22
2019-03-01,2019-04-01,2019-02-14,0.22
2019-05-31,2019-07-01,2019-05-09,0.22
2019-08-30,2019-09-30,2019-08-08,0.22
2019-11-29,2020-01-02,2019-11-14,0.245
2020-02-28,2020-04-01,2020-02-13,0.245
2020-05-29,2020-07-01,2020-05-07,0.245
