Ex,Pay,Dec,Div
2015-08-27,2015-09-16,2015-08-19,0.8
2015-11-25,2015-12-16,2015-11-18,0.8
2016-02-25,2016-03-16,2016-02-16,0.8
2016-06-02,2016-06-22,2016-05-17,0.9
2016-08-25,2016-09-14,2016-08-17,0.9
2016-12-01,2016-12-21,2016-11-16,0.9
2017-03-02,2017-03-22,2017-02-16,0.9
2017-06-01,2017-06-21,2017-05-16,1.0
2017-08-24,2017-09-13,2017-08-16,1.0
2017-12-01,2017-12-20,2017-11-15,1.0
2018-03-02,2018-03-21,2018-01-25,1.1
2018-06-01,2018-06-20,2018-05-15,1.2
2018-08-24,2018-09-12,2018-08-15,1.2
2018-11-30,2018-12-19,2018-11-14,1.2
2019-02-22,2019-03-13,2019-02-12,1.2
2019-05-31,2019-06-19,2019-05-14,1.32
2019-09-06,2019-09-25,2019-08-21,1.32
2019-11-29,2019-12-18,2019-11-20,1.32
2020-02-21,2020-03-11,2020-02-11,1.32
2020-05-29,2020-06-17,2020-05-19,1.45
