Date,Dividends
1997-03-25,0.067856
1997-09-25,0.060317
1998-03-26,0.076652
1998-09-25,0.079166
1999-03-26,0.076652
1999-09-27,0.065343
2000-03-28,0.061573
2000-09-26,0.05906
2001-03-27,0.05152
2001-09-25,0.063
2002-03-26,0.055
2002-09-25,0.082
2003-03-26,0.077909
2003-09-25,0.074
2004-03-26,0.082
2004-09-27,0.08
2005-03-28,0.083
2005-09-27,0.079
2006-03-28,0.074
2006-09-27,0.075
2007-03-28,0.788804
2007-09-26,0.198128
2008-03-26,1.65418
2008-09-25,1.08839
2009-03-26,1.27002
2009-09-25,0.485686
2010-03-26,1.1681
2010-09-27,0.212806
2011-03-28,0.501951
2012-03-27,0.197131
2014-03-26,0.123237
2015-03-26,0.182644
2015-09-25,0.030443
2016-03-28,0.145683
2017-03-28,0.479168
2017-09-28,0.122057
2018-03-28,0.541907
2018-09-27,0.186764
2019-03-28,0.741633
2019-09-26,0.308339
2020-03-27,0.951196
