Ex,Pay,Dec,Div
2015-08-18,2015-09-11,2015-08-06,0.097500000
2015-11-18,2015-12-14,2015-11-05,0.115000000
2016-02-29,2016-03-23,2016-02-17,0.115000000
2016-05-24,2016-06-20,2016-05-12,0.115000000
2016-08-23,2016-09-16,2016-08-11,0.115000000
2016-11-23,2016-12-19,2016-11-10,0.140000000
2017-02-22,2017-03-17,2017-02-09,0.140000000
2017-05-19,2017-06-14,2017-05-09,0.140000000
2017-08-22,2017-09-18,2017-08-10,0.140000000
2017-11-22,2017-12-15,2017-11-09,0.150000000
2018-02-22,2018-03-16,2018-02-08,0.15
2018-05-23,2018-06-15,2018-05-10,0.15
2018-08-29,2018-09-21,2018-08-16,0.15
2018-11-29,2018-12-21,2018-11-15,0.16
2019-02-28,2019-03-22,2019-02-13,0.16
2019-05-30,2019-06-21,2019-05-16,0.16
2019-08-28,2019-09-20,2019-08-15,0.16
2019-11-27,2019-12-20,2019-11-14,0.16
2020-02-27,2020-03-20,2020-02-13,0.16
2020-06-04,2020-06-26,2020-05-22,0.16
