Date,Dividends
1982-04-23,0.371429
1983-04-13,0.391
1984-04-13,0.411429
1985-04-19,0.37
1986-04-21,0.491429
1987-04-20,0.00414
1988-04-21,0.00522
1989-04-21,0.464
1990-04-23,0.53
1991-04-19,0.51
1992-04-28,0.536
1993-04-22,0.556
1994-04-22,0.0056
1994-04-26,0.132
1995-04-24,0.21
1996-04-24,0.0072
1996-05-01,0.0086
1997-04-25,0.28125
1998-03-27,1.5255
1999-03-25,0.5425
2000-03-24,0.585
2000-11-17,0.0188
2001-03-21,0.5725
2002-03-13,0.2653
2003-03-26,0.3765
2004-03-17,0.5209
2005-03-10,0.8399
2006-03-09,1.38351
2007-03-08,1.78356
2008-03-13,0.678462
2009-03-19,0.781532
2010-03-25,0.978615
2011-03-24,1.81762
2012-03-22,2.50945
2013-03-21,3.10179
2014-03-21,0.830304
2015-03-19,0.72998
2016-03-18,0.958141
2016-08-11,0.453459
2017-03-23,0.663349
2017-08-17,0.473634
2018-03-23,0.805982
2018-08-17,0.462327
2019-03-22,0.788703
2019-08-16,0.445242
2020-03-27,0.782605
