Ex,Pay,Dec,Div
2015-09-24,2015-10-26,2015-09-18,0.240000000
2015-12-23,2016-01-25,2015-12-16,0.240000000
2016-03-23,2016-04-25,2016-03-18,0.240000000
2016-06-23,2016-07-25,2016-06-16,0.240000000
2016-09-22,2016-10-28,2016-09-15,0.240000000
2016-12-22,2017-01-26,2016-12-15,0.240000000
2017-03-23,2017-04-25,2017-03-16,0.200000000
2017-06-22,2017-07-25,2017-06-14,0.200000000
2017-09-22,2017-10-25,2017-09-14,0.200000000
2017-12-15,2018-01-25,2017-12-07,0.200000000
2018-03-28,2018-04-26,2018-03-19,0.2
2018-06-27,2018-07-26,2018-06-18,0.2
2018-09-26,2018-10-26,2018-09-17,0.2
2018-12-13,2019-01-25,2018-12-04,0.2
2019-03-28,2019-04-25,2019-03-19,0.2
2019-06-21,2019-07-25,2019-06-14,0.2
2019-09-18,2019-10-25,2019-09-09,0.2
2019-12-19,2020-01-27,2019-12-10,0.2
