Ex,Pay,Dec,Div
2015-10-05,2015-10-22,2015-09-17,0.040000000
2016-01-11,2016-01-28,2015-12-17,0.040000000
2016-04-04,2016-04-21,2016-02-18,0.040000000
2016-07-11,2016-07-28,2016-06-28,0.040000000
2016-10-03,2016-10-20,2016-09-15,0.040000000
2017-01-09,2017-01-26,2016-12-15,0.040000000
2017-04-03,2017-04-20,2017-02-16,0.040000000
2017-07-10,2017-07-27,2017-06-29,0.040000000
2017-10-03,2017-10-19,2017-09-20,0.040000000
2018-01-09,2018-01-25,2017-12-14,0.040000000
2018-04-03,2018-04-19,2018-02-21,0.04
2018-07-10,2018-07-26,2018-06-28,0.04
2018-10-02,2018-10-18,2018-09-21,0.04
2019-01-08,2019-01-24,2018-12-20,0.04
2019-04-02,2019-04-18,2019-02-05,0.05
2019-07-09,2019-07-25,2019-06-27,0.05
2019-10-01,2019-10-17,2019-09-19,0.05
2020-01-07,2020-01-23,2019-12-19,0.05
2020-04-07,2020-04-23,2020-02-06,0.06
2020-07-09,2020-07-23,2020-06-30,0.06
