Ex,Pay,Dec,Div
2015-08-28,2015-09-15,2015-08-20,0.19
2015-09-29,2015-10-15,2015-09-09,0.1905
2015-10-29,2015-11-16,2015-10-13,0.1905
2015-11-27,2015-12-15,2015-11-10,0.1905
2015-12-30,2016-01-15,2015-12-15,0.191
2016-01-28,2016-02-16,2016-01-14,0.1985
2016-02-26,2016-03-15,2016-02-05,0.1985
2016-03-30,2016-04-15,2016-03-21,0.199
2016-04-28,2016-05-16,2016-04-11,0.199
2016-05-27,2016-06-15,2016-05-17,0.199
2016-06-29,2016-07-15,2016-06-14,0.1995
2016-07-28,2016-08-15,2016-07-12,0.1995
2016-08-30,2016-09-15,2016-07-26,0.2015
2016-09-29,2016-10-17,2016-09-08,0.202
2016-10-28,2016-11-15,2016-10-11,0.202
2016-11-29,2016-12-15,2016-11-11,0.202
2016-12-29,2017-01-13,2016-12-13,0.2025
2017-01-30,2017-02-15,2017-01-17,0.2105
2017-02-27,2017-03-15,2017-02-14,0.2105
2017-03-30,2017-04-14,2017-03-14,0.211
2017-04-27,2017-05-15,2017-04-11,0.211
2017-05-30,2017-06-15,2017-05-16,0.211
2017-06-29,2017-07-14,2017-06-15,0.2115
2017-07-28,2017-08-15,2017-07-11,0.2115
2017-08-30,2017-09-15,2017-08-17,0.2115
2017-09-29,2017-10-13,2017-09-12,0.212
2017-10-31,2017-11-15,2017-10-10,0.212
2017-11-30,2017-12-15,2017-11-10,0.212
2017-12-29,2018-01-12,2017-12-12,0.2125
2018-01-31,2018-02-15,2018-01-16,0.219
2018-02-28,2018-03-15,2018-02-16,0.219
2018-03-29,2018-04-13,2018-03-13,0.2195
2018-04-30,2018-05-15,2018-04-17,0.2195
2018-05-31,2018-06-15,2018-05-18,0.2195
2018-06-29,2018-07-13,2018-06-19,0.22
2018-07-31,2018-08-15,2018-07-17,0.22
2018-08-31,2018-09-14,2018-08-21,0.22
2018-09-28,2018-10-15,2018-09-18,0.2205
2018-10-31,2018-11-15,2018-10-16,0.2205
2018-11-30,2018-12-14,2018-11-16,0.2205
2018-12-31,2019-01-15,2018-12-11,0.221
2019-01-31,2019-02-15,2019-01-15,0.2255
2019-02-28,2019-03-15,2019-02-14,0.2255
2019-03-29,2019-04-15,2019-03-12,0.226
2019-04-30,2019-05-15,2019-04-16,0.226
2019-05-31,2019-06-14,2019-05-14,0.226
2019-06-28,2019-07-15,2019-06-11,0.2265
2019-07-31,2019-08-15,2019-07-16,0.2265
2019-08-30,2019-09-13,2019-08-19,0.2265
2019-09-30,2019-10-15,2019-09-17,0.227
2019-10-31,2019-11-15,2019-10-15,0.227
2019-11-29,2019-12-13,2019-11-20,0.227
2019-12-31,2020-01-15,2019-12-10,0.2275
2020-01-31,2020-02-14,2020-01-14,0.2325
2020-02-28,2020-03-13,2020-02-13,0.2325
2020-03-31,2020-04-15,2020-03-17,0.233
2020-04-30,2020-05-15,2020-04-13,0.233
2020-05-29,2020-06-15,2020-05-12,0.233
2020-06-30,2020-07-15,2020-06-09,0.2335
2020-07-31,2020-08-14,2020-07-13,0.2335
