Ex,Pay,Dec,Div
2015-10-09,2015-10-28,2015-09-15,0.150000000
2016-01-04,2016-01-27,2015-12-15,0.150000000
2016-04-12,2016-04-28,2016-03-14,0.150000000
2016-07-01,2016-07-27,2016-06-16,0.150000000
2016-10-07,2016-10-26,2016-09-15,0.150000000
2017-01-03,2017-01-26,2016-12-15,0.150000000
2017-04-10,2017-04-26,2017-03-15,0.190000000
2017-07-17,2017-08-02,2017-06-21,0.190000000
2017-10-10,2017-10-25,2017-09-14,0.190000000
2018-01-09,2018-01-24,2017-12-14,0.190000000
2018-04-16,2018-05-01,2018-03-16,0.19
2018-07-16,2018-07-31,2018-06-19,0.19
2018-10-15,2018-10-30,2018-09-17,0.19
2019-01-15,2019-01-30,2018-12-17,0.19
2019-04-10,2019-04-25,2019-03-14,0.24
2019-07-16,2019-07-31,2019-06-18,0.24
2019-10-09,2019-10-24,2019-09-11,0.24
2020-01-08,2020-01-23,2019-12-12,0.24
2020-04-08,2020-04-23,2020-03-12,0.24
2020-07-14,2020-07-28,2020-06-16,0.24
