Ex,Pay,Dec,Div
2015-09-08,2015-10-15,2015-07-09,0.750000000
2015-12-08,2016-01-15,,0.750000000
2016-03-08,2016-04-15,2016-02-18,0.750000000
2016-06-08,2016-07-15,,0.750000000
2016-09-07,2016-10-14,2016-07-14,0.760000000
2016-12-07,2017-01-13,2016-10-06,0.760000000
2017-03-08,2017-04-14,2017-02-16,0.760000000
2017-06-07,2017-07-14,2017-05-11,0.760000000
2017-09-08,2017-10-16,2017-07-13,0.770000000
2017-12-08,2018-01-16,2017-10-05,0.770000000
2018-03-08,2018-04-16,2018-02-08,0.77
2018-06-08,2018-07-16,2018-05-03,0.77
2018-09-07,2018-10-15,2018-07-12,0.78
2018-12-07,2019-01-15,2018-10-18,0.78
2019-03-08,2019-04-15,2019-02-27,0.78
2019-06-07,2019-07-15,2019-05-09,0.78
2019-09-09,2019-10-15,2019-07-11,0.79
2019-12-09,2020-01-15,2019-11-06,0.79
2020-03-09,2020-04-15,2020-02-11,0.79
2020-06-12,2020-07-15,2020-05-29,0.01
