Ex,Pay,Dec,Div
2015-08-05,2015-09-02,2015-06-25,0.280000000
2015-11-04,2015-12-01,2015-09-25,0.280000000
2016-02-03,2016-03-02,2015-12-14,0.300000000
2016-05-11,2016-06-01,2016-04-28,0.300000000
2016-08-03,2016-09-01,2016-06-23,0.300000000
2016-11-08,2016-12-01,2016-09-22,0.300000000
2017-02-01,2017-03-01,2016-12-12,0.320000000
2017-05-10,2017-06-01,2017-04-27,0.320000000
2017-08-02,2017-09-01,2017-06-22,0.320000000
2017-11-09,2017-12-01,2017-09-27,0.320000000
2018-02-01,2018-03-01,2017-12-18,0.340000000
2018-05-10,2018-06-01,2018-04-26,0.34
2018-08-02,2018-09-04,2018-06-28,0.34
2018-11-08,2018-12-03,2018-09-27,0.34
2019-01-31,2019-03-01,2018-12-14,0.36
2019-05-09,2019-06-07,2019-04-25,0.36
2019-08-01,2019-09-03,2019-06-27,0.36
2019-11-07,2019-12-02,2019-09-24,0.36
2020-01-30,2020-03-06,2019-12-16,0.38
2020-05-07,2020-06-05,2020-04-23,0.38
2020-07-30,2020-09-01,2020-06-25,0.38
