Ex,Pay,Dec,Div
2015-10-21,2015-11-16,,0.662900000
2016-01-20,2016-02-16,,0.662900000
2016-04-14,2016-05-16,2016-04-08,0.669500000
2016-07-20,2016-08-15,,0.669500000
2016-10-19,2016-11-15,2016-10-11,0.669500000
2017-01-18,2017-02-15,2017-01-10,0.669500000
2017-04-19,2017-05-15,2017-04-12,0.689600000
2017-07-19,2017-08-15,2017-07-11,0.689600000
2017-10-19,2017-11-15,2017-10-10,0.689600000
2018-01-18,2018-02-15,2018-01-09,0.6896
2018-04-19,2018-05-15,2018-04-10,0.7172
2018-07-19,2018-08-15,2018-07-10,0.7172
2018-10-18,2018-11-15,2018-10-09,0.7172
2019-01-17,2019-02-15,2019-01-08,0.7172
2019-04-17,2019-05-15,2019-04-09,0.7459
2019-07-18,2019-08-15,2019-07-09,0.7459
2019-10-17,2019-11-15,2019-10-08,0.7459
2020-01-23,2020-02-18,2020-01-14,0.7459
2020-04-23,2020-05-15,2020-04-14,0.7907
2020-07-23,2020-08-17,2020-07-14,0.7907
