Ex,Pay,Dec,Div
2015-08-31,2015-09-23,2015-07-02,0.48
2015-11-27,2015-12-18,2015-10-07,0.48
2016-02-29,2016-03-23,2016-01-12,0.48
2016-05-27,2016-06-22,2016-04-07,0.53
2016-08-29,2016-09-21,2016-07-06,0.53
2016-11-28,2016-12-16,2016-10-06,0.53
2017-02-27,2017-03-22,2017-01-12,0.53
2017-05-26,2017-06-21,2017-04-10,0.57
2017-08-28,2017-09-20,2017-07-10,0.57
2017-11-28,2017-12-15,2017-10-06,0.57
2018-02-27,2018-03-21,2018-01-08,0.57
2018-05-29,2018-06-20,2018-04-13,0.62
2018-09-04,2018-09-26,2018-07-10,0.62
2018-12-06,2018-12-20,2018-10-16,0.62
2019-03-06,2019-03-28,2019-01-07,0.62
2019-06-05,2019-06-27,2019-04-08,0.62
2019-09-11,2019-09-26,2019-07-17,0.62
2019-12-04,2019-12-19,2019-10-09,0.62
2020-03-04,2020-03-26,2020-01-09,0.62
2020-06-03,2020-06-25,2020-04-07,0.65
