Ex,Pay,Dec,Div
2015-09-18,2015-10-30,2015-09-17,0.26002
2015-12-18,2015-12-31,2015-12-17,0.34233
2016-03-18,2016-04-29,2016-03-17,0.3178
2016-06-17,2016-07-29,2016-06-16,0.28665
2016-09-16,2016-10-31,2016-09-15,0.29387
2016-12-16,2016-12-30,2016-12-15,0.35494
2017-03-17,2017-04-28,,0.27415
2017-06-16,2017-07-31,2017-06-15,0.37842
2017-09-18,2017-10-31,2017-09-15,0.31938
2017-12-18,2017-12-29,,0.32941
2018-03-19,2018-04-30,2018-03-16,0.27655
2018-06-18,2018-07-31,2018-06-15,0.37837
2018-09-24,2018-10-31,2018-09-21,0.32975
2018-12-24,2018-12-31,2018-12-21,0.42061
2019-03-18,2019-04-30,,0.32421
2019-06-24,2019-07-31,2019-06-21,0.41558
2019-09-23,2019-10-31,2019-09-20,0.38415
2019-12-23,2019-12-31,2019-12-20,0.45765
2020-03-23,2020-04-30,2020-03-20,0.36269
2020-06-22,2020-07-31,2020-06-19,0.42426
