Ex,Pay,Dec,Div
2015-08-26,2015-10-02,2015-07-27,0.12
2015-11-23,2016-01-05,2015-10-27,0.13
2016-03-01,2016-04-04,2016-02-16,0.14
2016-05-12,2016-07-06,2016-04-28,0.15
2016-09-01,2016-10-04,2016-08-03,0.16
2016-12-06,2017-01-04,2016-10-24,0.17
2017-03-01,2017-04-04,2017-02-13,0.18
2017-05-11,2017-07-06,2017-04-26,0.19
2017-09-14,2017-10-03,2017-08-02,0.2
2017-12-14,2018-01-03,2017-10-25,0.21
2018-03-14,2018-04-02,2018-02-12,0.45
2018-05-14,2018-07-03,2018-04-24,0.45
2018-09-06,2018-10-01,2018-07-31,0.45
2018-12-14,2019-01-04,2018-10-23,0.45
2019-03-14,2019-04-03,2019-01-22,0.5
2019-06-14,2019-07-03,2019-04-29,0.5
2019-09-16,2019-10-03,2019-08-01,0.5
2019-12-16,2020-01-03,2019-10-28,0.5
2020-03-13,2020-04-03,2020-02-09,0.52
