Ex,Pay,Dec,Div
2015-09-16,2015-10-06,2015-09-03,3.090000000
2015-09-16,2015-10-06,2015-09-03,0.375000000
2015-12-17,2016-01-05,2015-12-08,3.290000000
2015-12-17,2016-01-05,2015-12-08,0.375000000
2016-02-18,2016-03-03,2016-02-09,3.220000000
2016-02-18,2016-03-03,2016-02-09,0.375000000
2016-05-26,2016-06-13,2016-05-17,0.375000000
2016-09-27,2016-10-13,2016-09-19,0.480000000
2016-12-19,2017-01-05,2016-12-06,0.480000000
2017-03-03,2017-04-05,2017-02-07,0.480000000
2017-05-31,2017-07-05,2017-05-03,0.480000000
2017-09-21,2017-10-11,2017-09-06,0.600000000
2017-12-20,2018-01-05,2017-12-05,0.600000000
2018-03-06,2018-04-05,2018-02-13,0.6
2018-06-01,2018-07-03,2018-05-09,0.6
2018-09-20,2018-10-11,2018-09-06,0.7
2018-12-19,2019-01-04,2018-12-04,0.7
2019-03-06,2019-04-05,2019-02-13,0.7
2019-06-03,2019-07-03,2019-05-10,0.7
2019-09-19,2019-10-11,2019-09-06,0.78
2019-12-19,2020-01-06,2019-12-05,0.78
2020-03-05,2020-04-06,2020-02-20,0.78
