Ex,Pay,Dec,Div
2015-08-12,2015-09-21,2015-07-30,
2015-08-12,2015-09-21,2015-07-30,0.940000000
2015-11-10,2015-12-18,2015-10-29,
2015-11-10,2015-12-18,2015-10-29,0.940000000
2016-02-17,2016-03-29,2016-02-04,
2016-02-17,2016-03-29,2016-02-04,0.940000000
2016-05-18,2016-06-27,,
2016-05-18,2016-06-27,,0.940000000
2016-08-10,2016-09-19,,
2016-08-10,2016-09-19,,0.940000000
2016-11-08,2016-12-16,2016-11-01,0.940000000
2017-02-15,2017-03-27,2017-02-02,
2017-02-15,2017-03-27,2017-02-02,0.940000000
2017-05-17,2017-06-26,2017-05-04,
2017-05-17,2017-06-26,2017-05-04,0.940000000
2017-08-09,2017-09-18,,0.940000000
2017-08-09,2017-09-18,,
2017-11-16,2017-12-20,2017-11-02,
2017-11-16,2017-12-20,2017-11-02,0.940000000
2018-02-15,2018-03-26,,0.94
2018-05-10,2018-06-18,2018-04-26,0.94
2018-08-09,2018-09-17,,0.94
2018-11-15,2018-12-19,,0.94
2019-02-14,2019-03-25,,0.94
2019-05-16,2019-06-24,,0.94
2019-08-15,2019-09-23,2019-08-01,0.94
2019-11-14,2019-12-18,,0.94
2020-02-13,2020-03-23,2020-01-30,0.94
2020-05-14,2020-06-22,2020-04-30,0.32
