Ex,Pay,Dec,Div
2015-09-17,2015-09-30,2015-07-28,0.09
2015-12-17,2015-12-30,2015-11-10,0.09
2016-03-17,2016-03-30,2016-02-08,0.13
2016-06-17,2016-06-30,2016-05-25,0.13
2016-09-19,2016-09-30,2016-07-27,0.13
2016-12-19,2016-12-30,2016-11-30,0.13
2017-03-17,2017-03-30,2017-02-06,0.14
2017-06-19,2017-06-30,2017-05-24,0.14
2017-09-20,2017-09-29,2017-07-26,0.14
2017-12-20,2017-12-29,2017-11-02,0.14
2018-03-20,2018-03-30,2018-02-13,0.14
2018-06-20,2018-06-29,2018-05-23,0.14
2018-09-20,2018-09-28,2018-07-24,0.14
2018-12-20,2018-12-28,2018-11-28,0.14
2019-03-20,2019-03-29,2019-02-10,0.14
2019-06-20,2019-06-28,2019-04-23,0.14
2019-09-19,2019-09-30,2019-07-23,0.14
2019-12-19,2019-12-30,2019-12-10,0.14
2020-03-19,2020-03-30,2020-02-23,0.14
