Ex,Pay,Dec,Div
2015-08-04,2015-08-21,2015-06-24,0.160000000
2015-11-09,2015-11-27,2015-10-29,0.200000000
2016-02-02,2016-02-19,2015-11-10,0.200000000
2016-05-03,2016-05-20,2016-03-22,0.200000000
2016-08-02,2016-08-19,2016-05-11,0.200000000
2016-11-15,2016-12-02,2016-09-14,0.250000000
2017-02-07,2017-02-24,2017-01-26,0.250000000
2017-05-09,2017-05-26,2017-03-21,0.250000000
2017-08-08,2017-08-25,2017-06-28,0.250000000
2017-11-15,2017-12-01,2017-09-13,0.300000000
2018-02-07,2018-02-23,2017-11-15,0.3
2018-05-09,2018-05-25,2018-03-20,0.3
2018-08-08,2018-08-24,2018-06-19,0.36
2018-11-14,2018-11-30,2018-11-01,0.36
2019-02-06,2019-02-22,2018-11-14,0.36
2019-05-08,2019-05-24,2019-03-19,0.36
2019-08-07,2019-08-23,2019-06-26,0.36
2019-11-12,2019-11-29,2019-09-11,0.41
2020-02-05,2020-02-21,2019-11-13,0.41
2020-05-07,2020-05-22,2020-03-17,0.41
