Ex,Pay,Dec,Div
2015-08-03,2015-08-12,2015-07-31,0.1205
2015-09-01,2015-09-11,2015-08-31,0.1205
2015-10-01,2015-10-13,2015-09-30,0.1205
2015-11-02,2015-11-12,2015-10-30,0.1205
2015-12-01,2015-12-10,2015-11-30,0.1205
2015-12-29,2016-01-08,2015-12-29,0.1205
2016-02-01,2016-02-10,2016-01-29,0.1205
2016-03-01,2016-03-10,2016-02-29,0.1205
2016-04-01,2016-04-12,2016-03-31,0.1205
2016-05-02,2016-05-11,2016-04-29,0.1205
2016-06-01,2016-06-10,,0.1205
2016-07-01,2016-07-13,2016-06-30,0.1205
2016-08-01,2016-08-10,2016-07-29,0.1205
2016-09-01,2016-09-13,2016-08-31,0.1205
2016-10-03,2016-10-12,2016-09-30,0.1205
2016-11-01,2016-11-10,2016-10-31,0.1205
2016-12-01,2016-12-12,2016-11-30,0.1205
2016-12-28,2017-01-06,2016-12-27,0.1205
2017-02-01,2017-02-10,2017-01-31,0.1205
2017-03-01,2017-03-10,2017-02-28,0.1205
2017-04-03,2017-04-12,2017-03-31,0.1205
2017-05-01,2017-05-10,2017-04-28,0.1205
2017-06-01,2017-06-12,2017-05-31,0.1205
2017-07-03,2017-07-12,2017-06-30,0.1205
2017-08-01,2017-08-10,2017-07-31,0.1205
2017-09-01,2017-09-13,2017-08-31,0.1205
2017-10-02,2017-10-11,2017-09-29,0.1205
2017-11-01,2017-11-10,2017-10-31,0.1205
2017-12-01,2017-12-12,2017-11-30,0.1227
2017-12-28,2018-01-09,,0.1227
2018-02-05,2018-02-13,2018-02-02,0.1227
2018-03-05,2018-03-13,2018-03-02,0.1227
2018-04-04,2018-04-12,2018-01-26,0.1227
2018-05-03,2018-05-11,2018-01-26,0.1282
2018-06-05,2018-06-13,2018-01-26,0.1337
2018-07-05,2018-07-13,2018-01-26,0.1352
2018-08-03,2018-08-13,2018-01-26,0.1352
2018-09-06,2018-09-14,2018-01-26,0.1352
2018-10-03,2018-10-11,2018-01-26,0.1352
2018-11-05,2018-11-13,2018-01-26,0.1352
2018-12-06,2018-12-13,2018-01-26,0.1352
2018-12-28,2019-01-08,2018-01-29,0.1352
2019-02-05,2019-02-13,2019-01-21,0.1352
2019-03-05,2019-03-13,2019-01-21,0.1352
2019-04-03,2019-04-11,2019-01-21,0.1352
2019-05-03,2019-05-13,2019-01-21,0.1352
2019-06-05,2019-06-13,2019-01-21,0.1352
2019-07-03,2019-07-12,2019-01-21,0.1302
2019-08-05,2019-08-13,2019-01-21,0.1252
2019-09-05,2019-09-13,2019-01-21,0.1252
2019-10-03,2019-10-11,2019-01-21,0.1222
2019-11-05,2019-11-13,2019-01-21,0.1222
2019-12-04,2019-12-12,2019-01-21,0.1222
2019-12-30,2020-01-08,2019-01-21,0.1222
2020-02-05,2020-02-13,2020-01-21,0.1222
2020-03-04,2020-03-12,2020-01-21,0.1222
2020-04-03,2020-04-14,2020-01-21,0.0825
2020-05-05,2020-05-13,2020-01-21,0.075
2020-06-03,2020-06-11,2020-01-21,0.075
2020-07-06,2020-07-14,2020-01-21,0.08
