Ex,Pay,Dec,Div
2016-11-07,2016-11-30,2016-10-26,0.01
2017-02-03,2017-02-28,2017-01-24,0.01
2017-05-08,2017-05-31,2017-04-25,0.01
2017-08-08,2017-08-31,2017-07-11,0.01
2017-11-08,2017-11-30,2017-10-03,0.011
2018-02-06,2018-02-28,2018-01-23,0.011
2018-05-09,2018-05-31,2018-04-26,0.011
2018-08-09,2018-08-31,2018-07-18,0.011
2018-11-08,2018-11-30,2018-10-09,0.0121
2019-02-08,2019-02-28,2019-01-29,0.0121
2019-05-09,2019-05-31,2019-04-23,0.0121
2019-08-08,2019-08-30,2019-07-16,0.0121
2019-11-07,2019-11-29,2019-10-10,0.01331
2020-02-11,2020-02-28,2020-01-30,0.01331
2020-05-07,2020-05-29,2020-04-21,0.01331
