Date,Dividends
1973-04-23,0.00684
1973-10-24,0.00655
1974-04-23,0.0064
1974-07-26,0.0
1974-07-29,0.0
1974-10-24,0.00764
1976-02-04,0.0
1983-04-25,0.03455
1983-10-24,0.03545
1984-04-23,0.03727
1984-10-24,0.09179
1985-04-23,0.144597
1985-10-24,0.12082
1986-04-23,0.04636
1986-10-24,0.138226
1987-03-24,0.156704
1987-09-15,0.00636
1987-09-23,0.209925
1988-03-24,0.209097
1988-09-23,0.196029
1989-03-23,0.167253
1989-09-22,0.185725
1990-03-23,0.176426
1990-09-21,0.201056
1991-03-22,0.192134
1991-09-23,0.154
1991-09-25,0.0
1992-03-24,0.1682
1992-09-23,0.1706
1993-03-24,0.197
1993-09-23,0.1946
1994-03-24,0.2144
1994-09-23,0.2116
1995-03-24,0.314024
1995-09-27,0.261498
1996-03-26,0.243277
1996-09-25,0.23423
1997-03-25,0.279342
1997-09-25,0.218899
1998-03-26,0.260744
1998-09-25,0.21626
1999-03-26,0.218899
1999-09-27,0.256597
2000-03-28,0.247173
2000-05-25,0.0
2000-09-26,0.119125
2001-03-27,0.106936
2001-09-25,0.107565
2002-03-26,0.107841
2002-09-25,0.108872
2003-03-26,0.119188
2003-09-25,0.128562
2004-03-26,0.131943
2004-09-27,0.1127
2005-03-28,0.1196
2005-09-27,0.113
2006-03-28,0.1065
2006-09-27,0.1078
2007-03-28,0.102358
2007-09-26,0.1126
2008-03-26,0.119223
2008-09-25,0.212607
2009-03-27,0.130086
2009-09-25,0.143793
2010-03-26,0.135539
2010-09-27,0.18646
2011-03-28,0.19556
2011-09-27,0.160813
2012-03-27,0.197312
2012-09-25,0.151754
2013-03-26,0.156527
2013-09-25,0.126531
2014-03-26,0.121891
2015-09-25,0.080866
2016-03-28,0.090073
2016-09-27,0.08788
2017-03-28,0.091257
2017-09-28,0.111111
2018-03-28,0.137538
2018-09-27,0.13181
2019-03-28,0.182765
2019-09-27,0.183823
2020-03-27,0.227603
