Date,Dividends
1988-06-20,0.00988
1989-06-15,0.00988
1990-08-09,0.00237
1991-06-17,0.00237
1991-10-01,0.0
1992-06-22,0.00356
1993-07-01,0.0
1993-07-09,0.00533
1994-06-13,0.00533
1995-06-02,0.00533
1996-03-25,0.00533
1997-03-25,0.00533
1997-04-16,0.008
1998-04-16,0.008
1998-05-27,0.008
1999-05-26,0.008
2000-05-26,0.03111
2000-06-05,0.03111
2001-05-24,0.03111
2001-06-05,0.03111
2002-05-23,0.04444
2002-10-23,0.02667
2003-05-14,0.02222
2003-11-12,0.06667
2004-05-12,0.03556
2004-11-10,0.06222
2005-05-11,0.04889
2005-11-10,0.06667
2006-05-11,0.04889
2006-11-13,0.07111
2006-12-18,0.0
2007-05-11,0.05333
2007-06-29,0.0
2007-11-09,0.08
2008-05-14,0.05
2008-11-13,0.05
2009-04-13,0.08
2009-11-12,0.05
2010-05-11,0.05
2010-11-08,0.05
2011-05-10,0.05
2011-11-08,0.05
2012-05-08,0.05
2012-11-06,0.05
2013-05-21,0.05
2013-11-12,0.05
2014-05-13,0.05
2014-11-10,0.05
2015-05-19,0.05
2015-11-09,0.05
2016-05-17,0.05
2016-11-10,0.05
2017-05-11,0.05
2017-11-14,0.05
2018-05-14,0.05
2018-11-13,0.05
2019-05-16,0.05
2019-11-13,0.05
2020-05-15,0.05
