Ex,Pay,Dec,Div
2015-12-18,2015-12-29,2015-12-17,0.33116
2016-03-18,2016-03-29,2016-03-17,0.277192
2016-06-17,2016-06-27,2016-06-16,0.325596
2016-09-16,2016-09-26,2016-09-15,0.326104
2016-12-16,2016-12-27,2016-12-15,0.584971
2017-03-17,2017-03-27,2017-03-16,0.31759
2017-06-16,2017-06-26,2017-06-15,0.342752
2017-09-15,2017-09-25,2017-09-14,0.362827
2017-12-15,2017-12-26,2017-12-14,0.398982
2018-03-16,2018-03-21,2018-01-10,0.348771
2018-06-15,2018-06-20,2018-06-14,0.376101
2018-09-21,2018-09-26,2018-01-10,0.45071000000000006
2018-12-21,2018-12-27,2018-01-10,0.44335
2019-03-15,2019-03-20,2019-01-10,0.339422
2019-06-21,2019-06-26,2019-01-10,0.461955
2019-09-20,2019-09-25,2019-01-10,0.447676
2019-12-20,2019-12-26,2019-01-10,0.49717
2020-03-20,2020-03-25,2020-01-16,0.396187
2020-06-19,2020-06-24,2020-01-16,0.365715
