Ex,Pay,Dec,Div
2015-08-07,2015-08-25,2015-07-31,0.54
2015-11-04,2015-11-20,2015-10-21,0.63
2016-02-05,2016-02-23,2016-01-29,0.63
2016-05-06,2016-05-24,2016-04-29,0.63
2016-09-19,2016-10-05,2016-08-02,0.63
2016-12-19,2017-01-04,2016-10-19,0.63
2017-03-20,2017-04-05,2017-01-24,0.63
2017-06-19,2017-07-05,2017-04-26,0.63
2017-09-19,2017-10-04,2017-07-25,0.63
2017-12-19,2018-01-03,2017-10-23,0.63
2018-03-20,2018-04-04,2018-01-29,0.63
2018-06-19,2018-07-05,2018-05-01,0.63
2018-09-18,2018-10-03,2018-07-30,0.63
2018-12-18,2019-01-02,2018-11-02,0.63
2019-03-19,2019-04-03,2019-02-04,0.63
2019-06-18,2019-07-03,2019-04-30,0.63
2019-09-24,2019-10-09,2019-08-02,0.63
2019-12-24,2020-01-08,2019-10-28,0.65
2020-03-24,2020-04-08,2020-01-27,0.65
2020-06-23,2020-07-08,2020-04-21,0.65
