Ex,Pay,Dec,Div
2015-10-07,2015-11-02,2015-09-25,0.470000000
2016-01-06,2016-02-01,2015-12-18,0.480000000
2016-04-06,2016-05-02,2016-03-25,0.480000000
2016-07-06,2016-08-01,2016-06-24,0.480000000
2016-10-05,2016-11-01,2016-09-30,0.480000000
2017-01-06,2017-02-01,,0.490000000
2017-04-06,2017-05-01,2017-03-31,0.490000000
2017-07-06,2017-08-01,2017-06-30,0.490000000
2017-10-06,2017-11-01,2017-09-29,0.490000000
2018-01-09,2018-02-01,2017-12-15,0.500000000
2018-04-09,2018-05-01,2018-03-30,0.5
2018-07-09,2018-08-01,2018-06-29,0.5
2018-10-09,2018-11-01,2018-09-28,0.5
2019-01-09,2019-02-01,,0.51
2019-04-09,2019-05-01,2019-03-29,0.51
2019-07-09,2019-08-01,2019-06-28,0.51
2019-10-09,2019-11-01,2019-09-26,0.51
2020-01-09,2020-02-03,2019-12-13,0.52
2020-04-08,2020-05-01,2020-03-27,0.52
2020-07-09,2020-08-03,2020-06-26,0.52
