Date,Dividends
1984-12-21,0.0315
1985-06-24,0.0367
1985-12-23,0.0582
1986-06-23,0.0739
1986-12-23,0.0614
1987-06-23,0.0873
1987-12-24,0.0747
1988-06-23,0.096
1989-02-16,0.0865
1989-06-23,0.105692
1989-12-21,0.0761
1990-06-22,0.092608
1990-12-21,0.0945
1991-06-21,0.096727
1991-12-23,0.108
1992-06-23,0.131
1992-12-23,0.119
1993-06-23,0.149
1993-12-23,0.136
1994-06-22,0.137
1994-12-22,0.18
1995-03-24,0.18
1995-09-26,0.29
1996-03-26,0.19
1996-09-25,0.18
1997-03-25,0.164
1997-09-25,0.147
1998-03-26,0.205
1998-09-25,0.128
1999-03-26,0.171
1999-09-27,0.1802
2000-03-28,0.2078
2000-09-26,0.1679
2001-03-27,0.1905
2001-09-25,0.1776
2002-03-26,0.2123
2002-09-25,0.2176
2003-03-26,0.3
2003-09-25,0.3281
2004-03-26,0.4291
2004-09-27,0.4502
2005-03-28,0.4803
2005-09-27,0.725
2006-03-28,0.94283
2006-09-27,0.85984
2007-03-28,1.05195
2007-09-26,1.1965
2008-03-26,1.449
2008-09-25,1.25679
2009-03-26,0.725538
2009-09-25,0.576
2009-09-27,0.576089
2010-03-26,0.701
2010-03-28,0.700521
2010-09-27,0.595755
2011-03-28,0.747011
2011-09-27,0.511967
2012-03-27,0.700189
2012-09-25,0.678501
2013-03-26,1.26263
2013-09-25,1.17803
2014-03-26,1.95561
2014-09-25,1.26316
2015-03-27,2.01191
2015-09-28,1.628
2016-03-28,2.01508
2016-03-29,2.01508
2016-09-28,1.77152
2017-03-29,1.9665
2017-09-28,1.79746
2018-03-28,2.18881
2018-09-27,1.75848
2019-09-27,1.82993
2020-03-30,2.22511
