Ex,Pay,Dec,Div
2015-09-11,2015-10-15,2015-07-10,0.15
2015-12-11,2016-01-15,2015-11-12,0.15
2016-03-11,2016-04-15,2016-02-25,0.15
2016-06-13,2016-07-15,2016-05-18,0.15
2016-09-13,2016-10-17,2016-07-07,0.15
2016-12-13,2017-01-16,,0.15
2017-03-13,2017-04-17,2017-02-28,0.15
2017-06-13,2017-07-17,2017-05-18,0.15
2017-09-14,2017-10-16,2017-07-12,0.15
2017-12-14,2018-01-15,2017-11-09,0.15
2018-03-14,2018-04-16,2018-01-31,0.17
2018-06-14,2018-07-16,2018-05-24,0.17
2018-09-14,2018-10-15,2018-07-13,0.17
2018-12-14,2019-01-15,2018-11-08,0.17
2019-03-14,2019-04-16,2019-02-26,0.19
2019-06-13,2019-07-16,2019-05-23,0.19
2019-09-16,2019-10-15,2019-07-11,0.19
2019-12-16,2020-01-15,2019-11-08,0.19
2020-03-13,2020-04-16,2020-02-25,0.22
2020-06-12,2020-07-15,2020-05-20,0.22
