Ex,Pay,Dec,Div
2015-10-28,2015-11-16,2015-10-15,0.380000000
2016-01-28,2016-02-08,2016-01-21,0.380000000
2016-04-28,2016-05-16,2016-04-20,0.380000000
2016-07-28,2016-08-15,2016-07-21,0.380000000
2016-11-03,2016-11-21,2016-10-26,0.500000000
2017-01-27,2017-02-13,2017-01-19,0.500000000
2017-04-27,2017-05-15,2017-04-19,0.500000000
2017-07-27,2017-08-14,2017-07-19,0.500000000
2017-10-30,2017-11-13,2017-10-19,0.620000000
2018-01-30,2018-02-12,2018-01-18,0.62
2018-05-04,2018-05-21,2018-04-26,0.62
2018-07-30,2018-08-13,2018-07-19,0.62
2018-10-30,2018-11-19,2018-10-18,0.77
2019-01-30,2019-02-11,2019-01-17,0.77
2019-05-03,2019-05-20,2019-04-25,0.77
2019-07-30,2019-08-12,2019-07-18,0.77
2019-10-30,2019-11-18,2019-10-17,0.9
2020-01-30,2020-02-10,2020-01-16,0.9
2020-05-01,2020-05-18,2020-04-23,0.9
2020-07-30,2020-08-17,2020-07-16,0.9
