Ex,Pay,Dec,Div
2015-08-05,2015-09-09,,0.3282
2015-10-28,2015-12-09,,0.3435
2016-02-03,2016-03-09,2016-01-19,0.3296
2016-04-27,2016-06-01,,0.3648
2016-08-03,2016-09-07,,0.3531
2016-10-26,2016-12-07,,0.3546
2017-02-08,2017-03-15,2017-01-26,0.3439
2017-05-03,2017-06-07,,0.3828
2017-08-02,2017-09-06,,0.414
2017-11-02,2017-12-13,2017-07-20,0.4217
2018-02-15,2018-03-21,,0.4452
2018-05-03,2018-06-06,,0.4789
2018-08-02,2018-09-05,,0.4531
2018-11-01,2018-12-05,,0.4487
2019-02-14,2019-03-20,2019-01-31,0.4422
2019-05-02,2019-06-05,,0.4641
2019-08-08,2019-09-11,,0.4585
2019-10-31,2019-12-04,,0.4516
2020-02-20,2020-03-18,2020-01-30,0.4517
2020-05-14,2020-06-04,2020-04-24,0.4445
