Ex,Pay,Dec,Div
2015-09-09,2015-09-22,,0.500000000
2015-12-02,2015-12-15,,0.500000000
2016-03-09,2016-03-22,2016-02-10,0.500000000
2016-06-15,2016-06-28,2016-06-08,0.625000000
2016-09-07,2016-09-20,2016-08-03,0.625000000
2016-11-30,2016-12-13,2016-11-09,0.625000000
2017-03-08,2017-03-21,2017-02-09,0.625000000
2017-06-15,2017-06-27,2017-06-07,0.750000000
2017-09-07,2017-09-19,2017-08-16,0.750000000
2017-11-30,2017-12-12,2017-11-08,0.750000000
2018-03-08,2018-03-20,2018-02-14,0.75
2018-06-15,2018-06-26,2018-06-05,0.9
2018-09-06,2018-09-18,2018-08-08,0.9
2018-11-30,2018-12-13,2018-11-09,0.9
2019-03-08,2019-03-19,2019-02-27,0.9
2019-06-14,2019-06-25,2019-06-05,1.08
2019-09-13,2019-09-24,2019-08-13,1.08
2019-12-06,2019-12-17,2019-11-08,1.08
2020-03-13,2020-03-24,2020-02-17,1.08
2020-06-19,2020-06-30,2020-06-02,1.25
