Ex,Pay,Dec,Div
2015-08-27,2015-09-30,2015-07-30,0.550000000
2015-11-25,2015-12-30,2015-11-19,0.550000000
2016-02-25,2016-03-31,2016-02-04,0.550000000
2016-05-26,2016-06-30,2016-05-12,0.550000000
2016-08-29,2016-09-30,2016-07-28,0.550000000
2016-11-28,2016-12-29,2016-11-17,0.605000000
2017-02-24,2017-03-31,2017-02-02,0.605000000
2017-05-26,2017-06-30,2017-05-11,0.605000000
2017-08-29,2017-09-29,2017-07-27,0.605000000
2017-11-29,2017-12-28,2017-11-16,0.665000000
2018-02-27,2018-03-30,2018-02-08,0.73
2018-05-30,2018-06-29,2018-05-10,0.73
2018-08-30,2018-09-28,2018-07-26,0.8
2018-11-29,2018-12-28,2018-11-15,0.8
2019-02-27,2019-03-29,2019-02-07,0.88
2019-05-30,2019-06-28,2019-05-16,0.88
2019-08-29,2019-09-30,2019-07-25,0.97
2019-11-27,2019-12-30,2019-11-14,0.97
2020-02-27,2020-03-31,2020-02-06,0.97
2020-05-28,2020-06-30,2020-05-14,0.97
