Ex,Pay,Dec,Div
2015-08-12,2015-09-01,2015-07-22,0.12
2015-11-10,2015-12-01,2015-10-21,0.14
2016-02-17,2016-03-01,2016-02-05,0.14
2016-05-11,2016-06-07,2016-04-20,0.14
2016-08-17,2016-09-06,2016-07-19,0.14
2016-11-16,2016-12-06,2016-10-17,0.165
2017-02-15,2017-03-07,2017-01-31,0.165
2017-05-17,2017-06-06,2017-04-18,0.165
2017-08-16,2017-09-05,2017-07-17,0.165
2017-11-16,2017-12-05,2017-10-17,0.195
2018-02-15,2018-03-06,2018-01-30,0.21
2018-05-17,2018-06-05,2018-04-17,0.21
2018-08-16,2018-09-04,2018-07-16,0.21
2018-11-15,2018-12-04,2018-10-16,0.25
2019-02-14,2019-03-05,2019-01-29,0.25
2019-05-16,2019-06-04,2019-04-16,0.25
2019-08-15,2019-09-03,2019-07-15,0.25
2019-11-14,2019-12-03,2019-10-22,0.3
2020-02-13,2020-03-03,2020-01-28,0.3
2020-05-13,2020-06-02,2020-04-22,0.3
