Ex,Pay,Dec,Div
2015-10-07,2015-11-02,2015-09-03,0.565
2016-01-06,2016-02-01,2015-12-03,0.565
2016-04-06,2016-05-02,2016-03-04,0.565
2016-07-06,2016-08-01,2016-06-02,0.565
2016-10-05,2016-11-01,2016-09-01,0.5775
2017-01-06,2017-02-01,2016-12-01,0.5775
2017-04-06,2017-05-01,2017-03-03,0.5775
2017-07-06,2017-08-01,2017-06-01,0.5775
2017-10-06,2017-11-01,2017-09-07,0.59
2018-01-09,2018-02-01,2017-12-07,0.59
2018-04-09,2018-05-01,2018-03-06,0.59
2018-07-09,2018-08-01,2018-06-07,0.59
2018-10-09,2018-11-01,2018-09-06,0.6025
2019-01-09,2019-02-01,2018-12-06,0.6025
2019-04-09,2019-05-01,2019-03-08,0.6025
2019-07-09,2019-08-01,2019-06-06,0.6025
2019-10-09,2019-11-01,2019-09-05,0.615
2020-01-09,2020-02-03,2019-12-05,0.615
2020-04-09,2020-05-01,2020-03-05,0.615
2020-07-09,2020-08-03,2020-06-04,0.615
