Ex,Pay,Dec,Div
2015-08-05,2015-09-08,2015-02-19,0.490000000
2015-12-02,2016-01-04,2015-02-19,0.490000000
2016-03-09,2016-04-04,2016-02-18,0.500000000
2016-05-11,2016-06-06,,0.500000000
2016-08-10,2016-09-06,,0.500000000
2016-12-07,2017-01-03,2016-02-18,0.500000000
2017-03-08,2017-04-03,2017-02-21,0.510000000
2017-05-10,2017-06-05,2017-02-21,0.510000000
2017-08-09,2017-09-05,2017-02-21,0.510000000
2017-12-07,2018-01-02,2017-02-21,0.510000000
2018-03-08,2018-04-02,2018-02-20,0.52
2018-05-10,2018-06-04,2018-02-20,0.52
2018-08-09,2018-09-04,2018-02-20,0.52
2018-12-06,2019-01-02,2018-02-20,0.52
2019-03-14,2019-04-01,2019-02-19,0.53
2019-05-09,2019-06-03,2019-02-19,0.53
2019-08-08,2019-09-03,2019-02-19,0.53
2019-12-05,2020-01-02,2019-02-19,0.53
2020-03-19,2020-04-06,2020-02-18,0.54
2020-05-07,2020-06-01,2020-02-18,0.54
