Ex,Pay,Dec,Div
2015-09-11,2015-09-25,2015-07-23,0.120000000
2015-12-11,2015-12-28,2015-10-22,0.120000000
2016-03-11,2016-03-25,2016-02-04,0.120000000
2016-06-13,2016-06-27,2016-04-21,0.120000000
2016-09-13,2016-09-26,2016-07-21,0.120000000
2016-12-13,2016-12-27,2016-10-20,0.120000000
2017-03-13,2017-03-27,2017-02-02,0.120000000
2017-06-13,2017-06-26,2017-04-21,0.120000000
2017-09-14,2017-09-25,2017-07-20,0.120000000
2017-12-14,2017-12-26,2017-10-19,0.120000000
2018-03-14,2018-03-26,2018-02-01,0.12
2018-06-14,2018-06-25,2018-04-19,0.12
2018-09-13,2018-09-25,2018-07-19,0.12
2018-12-13,2018-12-26,2018-10-18,0.12
2019-03-14,2019-03-25,2019-01-31,0.12
2019-06-13,2019-06-25,2019-04-18,0.12
2019-09-12,2019-09-25,2019-07-18,0.12
2019-12-12,2019-12-26,2019-10-23,0.12
2020-03-12,2020-03-25,2020-01-30,0.12
2020-06-12,2020-06-25,2020-04-16,0.12
