Ex,Pay,Dec,Div
2015-08-07,2015-08-20,2015-07-29,0.5
2015-11-09,2015-11-24,2015-10-15,0.5
2016-02-19,2016-03-02,2016-02-11,0.5
2016-05-13,2016-05-26,2016-05-05,0.5
2016-08-09,2016-08-23,2016-07-28,0.5
2016-11-15,2016-11-29,2016-11-02,0.5
2017-02-10,2017-02-28,2017-01-26,0.5
2017-05-09,2017-05-23,2017-04-25,0.5
2017-08-08,2017-08-22,2017-07-25,0.5
2017-11-15,2017-11-28,2017-10-26,0.5
2018-02-14,2018-02-27,2018-01-22,0.5
2018-05-16,2018-05-29,2018-04-24,0.75
2018-08-15,2018-08-28,2018-08-01,0.75
2018-11-20,2018-11-30,2018-11-07,0.75
2019-02-14,2019-02-26,2019-01-30,0.75
2019-05-21,2019-05-30,2019-05-09,1.0
2019-08-15,2019-08-27,2019-08-06,1.0
2019-11-13,2019-11-22,2019-11-06,1.0
2020-02-25,2020-03-06,2020-02-06,1.0
