Ex,Pay,Dec,Div
2015-08-11,2015-09-10,2015-07-29,0.73
2015-11-09,2015-12-10,2015-10-28,0.73
2016-02-09,2016-03-10,2016-01-27,0.73
2016-05-11,2016-06-10,2016-04-27,0.75
2016-08-10,2016-09-09,2016-07-27,0.75
2016-11-08,2016-12-09,2016-10-26,0.75
2017-02-08,2017-03-10,2017-01-25,0.75
2017-05-10,2017-06-09,2017-04-26,0.77
2017-08-10,2017-09-11,2017-07-26,0.77
2017-11-10,2017-12-11,2017-10-25,0.77
2018-02-09,2018-03-09,2018-01-31,0.77
2018-05-11,2018-06-11,2018-04-25,0.82
2018-08-10,2018-09-10,2018-07-25,0.82
2018-11-09,2018-12-10,2018-10-31,0.82
2019-02-08,2019-03-11,2019-01-30,0.82
2019-05-10,2019-06-10,2019-04-24,0.87
2019-08-12,2019-09-10,2019-07-31,0.87
2019-11-08,2019-12-10,2019-10-30,0.87
2020-02-10,2020-03-10,2020-01-29,0.87
2020-05-12,2020-06-10,2020-04-29,0.87
