Ex,Pay,Dec,Div
2015-10-14,2015-11-06,2015-10-06,0.46
2016-01-13,2016-02-05,,0.46
2016-04-13,2016-05-06,,0.46
2016-07-13,2016-08-05,,0.46
2016-10-17,2016-11-04,2016-09-26,0.51
2017-01-11,2017-02-03,2016-12-21,0.3
2017-04-11,2017-05-05,2017-03-24,0.3
2017-07-12,2017-08-04,2017-05-19,0.3
2017-11-14,2017-12-08,2017-10-23,0.3
2018-02-13,2018-03-09,2018-01-26,0.36
2018-05-15,2018-06-08,2018-04-25,0.36
2018-08-17,2018-09-07,2018-08-10,0.36
2018-11-23,2018-12-07,2018-11-16,0.36
2019-02-13,2019-03-08,2019-01-25,0.42
2019-05-15,2019-06-07,2019-05-06,0.42
2019-08-16,2019-09-06,2019-08-09,0.42
2019-11-20,2019-12-06,2019-11-11,0.42
2020-02-13,2020-03-06,2020-01-24,0.47
2020-05-28,2020-06-12,2020-05-14,0.47
