Date,Dividends
2012-09-19,0.224
2012-12-19,1.517
2013-03-20,0.069
2013-06-19,0.167
2013-08-19,0.18
2013-09-23,0.18
2013-10-24,0.2
2013-11-21,0.2
2013-12-24,0.2
2014-01-27,0.17
2014-02-25,0.17
2014-03-25,0.17
2014-04-25,0.17
2014-05-27,0.17
2014-06-25,0.17
2014-07-25,0.17
2014-08-25,0.17
2014-09-25,0.17
2014-10-27,0.17
2014-11-24,0.17
2014-12-26,0.191
2015-01-23,0.16
2015-02-24,0.16
2015-03-25,0.16
2015-04-24,0.16
2015-05-26,0.16
2015-06-24,0.16
2015-07-27,0.16
2015-08-24,0.16
2015-09-25,0.16
2015-10-27,0.16
2015-11-23,0.16
2015-12-28,0.16
2016-01-26,0.16
2016-02-23,0.16
2016-03-22,0.16
2016-04-26,0.16
2016-05-24,0.16
2016-06-21,0.16
2016-07-26,0.16
2016-08-26,0.16
2016-09-27,0.16
2016-10-26,0.16
2016-11-25,0.16
2016-12-27,0.16
2017-01-26,0.16
2017-02-23,0.13
2017-03-28,0.13
2017-04-25,0.13
2017-05-25,0.13
2017-06-27,0.13
2017-07-26,0.13
2017-08-28,0.13
2017-09-26,0.13
2017-10-26,0.13
2017-11-27,0.26
2017-12-26,0.13
2018-01-26,0.13
2018-02-23,0.13
2018-03-26,0.13
2018-04-25,0.13
2018-05-25,0.13
2018-06-26,0.13
2018-07-26,0.13
2018-08-28,0.13
2018-09-25,0.13
2018-10-26,0.13
2018-11-27,0.13
2018-12-24,0.13
2019-01-28,0.13
2019-02-25,0.13
2019-03-25,0.13
2019-04-25,0.13
2019-05-28,0.13
2019-06-24,0.13
2019-07-25,0.13
2019-08-26,0.13
2019-09-25,0.13
2019-10-28,0.13
2019-11-22,0.13
2019-12-23,0.13
2019-12-30,0.063
2020-01-29,0.13
2020-02-26,0.13
2020-04-28,0.13
2020-05-27,0.13
2020-06-26,0.13
